"name","latitude","longitude","grantee","grantNumber","delegateNo","centerType","programType","programDelegateName","programMainPhoneNumber","programAddress","programCity","programState","programZipCode","phone","address","city","state","zip","id"
"Home Away From Home-Pinewood Head Start","35.9673576","-85.04747250000003","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 787-1012","115 Pinewood Dr","Crossville","TN","38555-4040","41645"
"Happy Valley 1 & 2","36.3155236","-82.2850502","Carter County Head Start
305 Academy Street
Elizabethton, TN 37643-2208
(423)547-4009
","04CH4688","002","Head Start","Head Start","Carter County Head Start","","305 Academy Street ","Elizabethton","TN","37643-2208","(423) 547-4058","1840 Milligan Hwy","Johnson City","TN","37601-7124","40769"
"Holmes Road Elementary","35.0054102","-90.03011750000002","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-6469","1083 E Holmes Rd","Memphis","TN","38116-8245","46477"
"WCS - Watertown","36.0980186","-86.14800230000003","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 542-9556","751 W Main St","Watertown","TN","37184-4358","48613"
"Jasper Head Start","35.069107","-85.63519199999996","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT
501 Westfield Pl
Jasper, TN 37347-5144
(423)939-1005
","04CH4786","000","Head Start","Head Start","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT","","501 Westfield Pl ","Jasper","TN","37347-5144","(423) 942-9451","3706 Main St","Jasper","TN","37347-0418","51924"
"Childcare Network 168","35.042575","-85.27777500000002","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 826-1592","1510 E 3rd St","Chattanooga","TN","37404-2436","56824"
"Coalfield Pre K","36.0251176","-84.42167810000001","COMMUNITY ACTION SERVICE OF MORGAN COUNTY HEAD START
105 Longview Dr
Wartburg, TN 37887-4205
(423)346-6633
","04CH4714","000","Head Start","Head Start","COMMUNITY ACTION SERVICE OF MORGAN COUNTY HEAD START","","105 Longview Dr ","Wartburg","TN","37887-4205","(423) 346-6633","1720 Coal Hill Rd","Harriman","TN","37748-3716","43732"
"Burchfield Head Start Center","36.5034201","-84.53501319999998","Clinch-Powell Educational Cooperative
106 Ingle Dr
Tazewell, TN 37879-3640
(423)626-9270
","04CH010267","000","Head Start","Head Start","Clinch-Powell Educational Cooperative","","106 Ingle Dr ","Tazewell","TN","37879-3640","(423) 569-5022","1108 W 3rd Ave","Oneida","TN","37841-6008","80944"
"MCS - Scales","35.8186678","-86.46020049999998","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 542-9565","2340 Saint Andrews Dr","Murfreesboro","TN","37128-5882","49511"
"East View","36.1672271","-82.81178339999997","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 638-6351","454 E Bernard Ave","Greeneville","TN","37745-5001","39061"
"Community Action Services of Morgan Cty","36.1066983","-84.57816809999997","COMMUNITY ACTION SERVICE OF MORGAN COUNTY HEAD START
105 Longview Dr
Wartburg, TN 37887-4205
(423)346-6633
","04CH4714","000","Head Start","Head Start","COMMUNITY ACTION SERVICE OF MORGAN COUNTY HEAD START","","105 Longview Dr ","Wartburg","TN","37887-4205","(423) 346-6633","105 Longview Dr
P.O. Box 179","Wartburg","TN","37887-4205","43726"
"Belle Forest Elementary","35.0631481","-89.8569172","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-7200","3135 Ridgeway Rd","Memphis","TN","38115-2734","46447"
"MEIGS NORTH HEAD START","35.569515","-84.75715300000002","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 344-4931","22015 State Highway 58 N","Decatur","TN","37322-3242","81997"
"Franklin Head Start","35.91255917509467","-86.88070249867246","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 794-0166","1406 Cannon St
Franklin Special City School District Annex","Franklin","TN","37064-3542","48594"
"Lauderdale Co. Head Start","35.74369","-89.52164379999999","Northwest Tennessee Head Start
938 C Walnut Avenue West
McKenzie, TN 38201-1970
(731)352-4743 - 6502
","04CH010416","000","Head Start","Head Start","Northwest Tennessee Head Start","","938 C Walnut Avenue West ","McKenzie","TN","38201-1970","(731) 635-8234","142 Nelson St","Ripley","TN","38063-1822","84607"
"Wartburg Central Pre K","36.10315629999999","-84.57784800000002","COMMUNITY ACTION SERVICE OF MORGAN COUNTY HEAD START
105 Longview Dr
Wartburg, TN 37887-4205
(423)346-6633
","04CH4714","000","Head Start","Head Start","COMMUNITY ACTION SERVICE OF MORGAN COUNTY HEAD START","","105 Longview Dr ","Wartburg","TN","37887-4205","(423) 346-6633","1315 Knoxville Hwy","Wartburg","TN","37887-4115","43735"
"Keystone Elementary","35.241826","-89.95129709999998","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-3924","4301 Old Allen Rd","Memphis","TN","38128-1729","46480"
"Lafayette Head Start","36.49675240022576","-85.9883772209015","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(615) 666-4392","2703 Highway 52 E","Lafayette","TN","37083-6029","41631"
"Bolivar","35.231888","-88.96555899999998","SOUTHWEST HUMAN RESOURCE AGENCY
1527 White Ave
Henderson, TN 38340-7625
(731)989-5111
","04CH4711","000","Head Start","Head Start","SOUTHWEST HUMAN RESOURCE AGENCY","","1527 White Ave ","Henderson","TN","38340-7625","(731) 658-4920","17545 Highway 125 S
Campbell Chapel Church","Bolivar","TN","38008-3729","43941"
"Rolling Acres Home-based","35.9155319","-84.56546679999997","Mid-East Community Action Agency
315 E Race St
Kingston, TN 37763-2828
(865)376-2308 - 231
","04CH0450","000","Head Start","Head Start","Mid-East Community Action Agency","","315 E Race St ","Kingston","TN","37763-2828","(865) 882-0808","220 Crestview Ave","Harriman","TN","37748-7020","38403"
"Sneedville","36.5255213","-83.21555109999997","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 733-8132","216 Harrison St","Sneedville","TN","37869-3821","39064"
"Troy Head Start Center","36.3393781","-89.16593720000003","Northwest Tennessee Head Start
938 C Walnut Avenue West
McKenzie, TN 38201-1970
(731)352-4743 - 6502
","04CH010416","000","Head Start","Head Start","Northwest Tennessee Head Start","","938 C Walnut Avenue West ","McKenzie","TN","38201-1970","(731) 536-4918","409 S Maple St
P. O. Box 608","Troy","TN","38260-5674","84597"
"Daisy","35.2327839","-85.16844200000003","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 643-6460","9531 W Ridge Trail Rd","Soddy Daisy","TN","37379-4018","56814"
"Cross Creek","36.233751","-83.820515","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 992-7104","177 Durham Dr","Maynardville","TN","37807-2925","56967"
"Porter Leath Frayser Head Start","35.214942","-89.97394600000001","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 353-0407","3274 Range Line Rd","Memphis","TN","38127-6837","46442"
"Springdale Head Start Center","36.369453","-83.44041700000002","Clinch-Powell Educational Cooperative
106 Ingle Dr
Tazewell, TN 37879-3640
(423)626-9270
","04CH010267","000","Head Start","Head Start","Clinch-Powell Educational Cooperative","","106 Ingle Dr ","Tazewell","TN","37879-3640","(423) 626-5152","1917 Highway 25 South","Tazewell","TN","37879","80725"
"Clairfield Head Start Center","36.5703824","-83.9244038","Clinch-Powell Educational Cooperative
106 Ingle Dr
Tazewell, TN 37879-3640
(423)626-9270
","04CH010267","000","Head Start","Head Start","Clinch-Powell Educational Cooperative","","106 Ingle Dr ","Tazewell","TN","37879-3640","(423) 784-7700","6366 Highway 90","Clairfield","TN","37715-3621","80757"
"Lucie E Campbell Elementary","35.213805","-89.96845200000001","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-1000","3232 Birchfield Dr","Memphis","TN","38127-6923","46487"
"Magic Valley Head Start","36.04303840000001","-88.1185539","Northwest Tennessee Head Start
938 C Walnut Avenue West
McKenzie, TN 38201-1970
(731)352-4743 - 6502
","04CH010416","000","Head Start","Head Start","Northwest Tennessee Head Start","","938 C Walnut Avenue West ","McKenzie","TN","38201-1970","(731) 584-2009","245 Overhead Bridge Rd","Camden","TN","38320-1862","84603"
"Grand Junction","35.0482372","-89.18475260000002","SOUTHWEST HUMAN RESOURCE AGENCY
1527 White Ave
Henderson, TN 38340-7625
(731)989-5111
","04CH4711","000","Head Start","Head Start","SOUTHWEST HUMAN RESOURCE AGENCY","","1527 White Ave ","Henderson","TN","38340-7625","(731) 764-3083","190 Madison Ave E","Grand Junction","TN","38039-4444","43944"
"Selmer","35.155773","-88.5950421","SOUTHWEST HUMAN RESOURCE AGENCY
1527 White Ave
Henderson, TN 38340-7625
(731)989-5111
","04CH4711","000","Head Start","Head Start","SOUTHWEST HUMAN RESOURCE AGENCY","","1527 White Ave ","Henderson","TN","38340-7625","(731) 645-8953","705 Industrial Park Dr","Selmer","TN","38375-3285","43931"
"Hampton 1","36.28567690000001","-82.16460899999998","Carter County Head Start
305 Academy Street
Elizabethton, TN 37643-2208
(423)547-4009
","04CH4688","002","Head Start","Head Start","Carter County Head Start","","305 Academy Street ","Elizabethton","TN","37643-2208","(423) 725-5225","408 Highway 321","Hampton","TN","37658-3322","40766"
"Tracy City Head Start","35.2432318","-85.69268399999999","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT
501 Westfield Pl
Jasper, TN 37347-5144
(423)939-1005
","04CH4786","000","Head Start","Head Start","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT","","501 Westfield Pl ","Jasper","TN","37347-5144","(931) 592-2311","13764 US Highway 41","Tracy City","TN","37387-5028","51920"
"SMMS Head Start Center","36.4520825","-83.5822359","Clinch-Powell Educational Cooperative
106 Ingle Dr
Tazewell, TN 37879-3640
(423)626-9270
","04CH010267","000","Head Start","Head Start","Clinch-Powell Educational Cooperative","","106 Ingle Dr ","Tazewell","TN","37879-3640","(423) 626-1622","450 Brown St","Tazewell","TN","37879-4024","80724"
"Hickman County Head Start","35.81277100000001","-87.43499199999997","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 729-1737","200 Bulldog Blvd","Centerville","TN","37033-1010","32656"
"NORTH HAMBLEN HEAD START","36.237191","-83.292258","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(423) 586-6493","2125 Fairview Rd","Morristown","TN","37814-3093","56936"
"NEW PROSPECT","35.964222","-83.19271800000001","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(423) 623-8119","242 Prospect Ave","Newport","TN","37821-3548","56947"
"Dayton Head Start","35.4691","-85.01297299999999","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT
501 Westfield Pl
Jasper, TN 37347-5144
(423)939-1005
","04CH4786","000","Head Start","Head Start","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT","","501 Westfield Pl ","Jasper","TN","37347-5144","(423) 775-7723","1655 Blythe Ferry Rd","Dayton","TN","37321-5640","51917"
"Bethel Grove Elementary","35.0990632","-89.9810692","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-5012","2459 Arlington Ave","Memphis","TN","38114-4221","86023"
"Greeneville Technology Center (GTC)","36.155858","-82.8815745","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 639-0171","1121 Hal Henard Rd","Greeneville","TN","37743-7543","39049"
"Douglass Elementary","35.1774639","-89.95318209999999","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-5946","1650 Ash St","Memphis","TN","38108-1929","58860"
"Montgomery Central","36.3976564","-87.38542039999999","Clarksville / Montgomery County CAA
150 Lafayette Rd
Clarksville, TN 37042-4205
(931)896-1806
","04CH010248","000","Head Start","Head Start","Clarksville / Montgomery County CAA","","150 Lafayette Rd ","Clarksville","TN","37042-4205","(931) 387-4496","4011 Highway 48","Cunningham","TN","37052-5020","80332"
"SWEETWATER","35.5956318","-84.50198639999996","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(423) 337-5303","29 Valley View Village Dr","Sweetwater","TN","37874-1931","56942"
"Fayette Co. Head Start","35.0815637","-89.39014609999998","Northwest Tennessee Head Start
938 C Walnut Avenue West
McKenzie, TN 38201-1970
(731)352-4743 - 6502
","04CH010416","000","Head Start","Head Start","Northwest Tennessee Head Start","","938 C Walnut Avenue West ","McKenzie","TN","38201-1970","(901) 877-6372","100 Thompson Dr","Moscow","TN","38057-6732","84592"
"Sea Isle Elementary","35.0946302","-89.88898990000001","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-2104","5250 Sea Isle Rd","Memphis","TN","38117-6833","46500"
"Shelbyville Head Start","35.4942597","-86.46365029999998","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 684-8529","515 Rock St","Shelbyville","TN","37160-2728","32652"
"Lucy Elementary","35.297434","-89.92575899999997","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 873-8116","6269 Amherst Rd","Millington","TN","38053-8007","46489"
"Lawrence County Head Start/Early  Head Start","35.2371195","-87.32993599999998","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 762-6039","405 E Taylor St","Lawrenceburg","TN","38464-3839","32677"
